year,make,model,display_trim,bolt_pattern,center_bore_mm,thread_size,offset_min,offset_max,diameter_min,diameter_max,width_min,width_max,wheel_count,source,issue_types,issue_details
2018,"honda","pilot","LX, EX, EX-L, Touring, Elite, TrailSport","5x120",64.1,"M12x1.5",40,55,18,20,7.5,8.5,2,"cache-import","sibling_aggregation","Multiple trims grouped: LX, EX, EX-L, Touring, Elite, TrailSport"
2018,"honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","5x120",64.1,"M14x1.5",35,50,18,20,8,8,2,"manual_seed_spec","sibling_aggregation","Multiple trims grouped: Sport, RTL, RTL-E, Black Edition, TrailSport"
2018,"hyundai","accent","GLS/SE/SEL","4x100",54.1,"M12x1.5",35,50,15,17,6,7,2,"batch7-subcompacts-final","plausible_shared","Multiple specs with reasonable spread"
2018,"hyundai","elantra","SE, SEL, N Line, Limited","5x114.3",67.1,"M12x1.5",45,53,15,17,6,7,3,"cache-import","sibling_aggregation","Multiple trims grouped: SE, SEL, N Line, Limited"
2018,"hyundai","ioniq","Blue, SE, SEL","5x114.3",67.1,"M12x1.5",45,55,15,16,6,6.5,2,"final-gap-fill","sibling_aggregation","Multiple trims grouped: Blue, SE, SEL"
2018,"hyundai","ioniq","Limited","5x114.3",67.1,"M12x1.5",45,55,17,17,7,7,1,"final-gap-fill","exact_safe","Single exact wheel spec"
2018,"hyundai","kona","SE, SEL, N Line, Limited","5x114.3",67.1,"M12x1.5",40,52,17,18,7,7.5,2,"manual_seed_spec","sibling_aggregation","Multiple trims grouped: SE, SEL, N Line, Limited"
2018,"hyundai","palisade","2.2 CRDi","5x114.3",67.1,"M12 x 1.5",49.5,50,18,21,7.5,8,4,"railway_import","exact_safe","Specs within expected ranges"
2018,"hyundai","santa-fe","3.3 GDi","5x114.3",67.1,"M12 x 1.5",45,49.5,18,20,7.5,8,3,"railway_import","plausible_shared","Multiple specs with reasonable spread"
2018,"hyundai","santa-fe","SE, SEL, XRT, Limited, Calligraphy","5x114.3",67.1,"M12x1.5",40,55,17,19,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: SE, SEL, XRT, Limited, Calligraphy"
2018,"hyundai","sonata","SE, SEL, SEL Plus, Limited, N Line","5x114.3",67.1,"M12x1.5",45,55,16,18,6.5,7.5,3,"cache-import","sibling_aggregation","Multiple trims grouped: SE, SEL, SEL Plus, Limited, N Line"
