year,make,model,n_rows,our_union,tried,other_years_matched
2021,bmw,4-series-gran-coupe,1,215/55R17,430i Gran Coupe | 430i xDrive Gran Coupe | M440i Gran Coupe | M440i xDrive Gran Coupe | 4 Series Gran Coupe | 4 Series,true
1996,bmw,5-series,2,225/55R16 235/45R17 245/40R18 275/35R18 205/65R15 225/60R16,M5 | 530i | 540i | 528i | 535i | 550i | 525i | 530i xDrive | 540i xDrive | 535i xDrive | 528i xDrive | 550i xDrive | 535i GT | 550i GT xDrive | 535i GT xDrive | 550i GT | ActiveHybrid 5 | 535d | 535d xDrive | 525xi | 530xi | 545i | 528xi | 535xi,true
2003,bmw,6-series,2,245/45R18 215/55R17,650i | 640i Gran Coupe | 650i Gran Coupe | 650i xDrive Gran Coupe | 650i xDrive | 640i | 640i xDrive Gran Coupe | 640i xDrive | 640i xDrive Gran Turismo | 645Ci,true
2011,bmw,6-series,2,225/45R18,640i Gran Coupe | 650i Gran Coupe | 650i xDrive Gran Coupe | 640i xDrive Gran Coupe | 650i | 650i xDrive | 640i | 640i xDrive | 640i xDrive Gran Turismo,true
2021,bmw,i4,1,245/45R18 255/40R19 275/35R20,I4,true
2023,bmw,i5,1,245/45R19 255/40R20 275/35R21,I5,true
2022,bmw,i7,1,255/45R20 275/40R21,I7,true
2013,bmw,i8,1,245/45R20,I8,true
1992,bmw,m3,1,225/45R17 245/40R17,M3,true
1993,bmw,m3,1,225/45R17 245/40R17,M3,true
1994,bmw,m3,1,225/45R17 245/40R17,M3,true
2000,bmw,m3,1,275/35R19 285/30R20,M3,true
2007,bmw,m3,3,275/35R19 285/30R20,M3 | M3 Competition,true
2014,bmw,m3,3,275/35R19 285/30R20,M3 | M3 Competition,true
2019,bmw,m3,4,255/40R18 275/40R18 255/35R19 275/35R19 275/30R20 285/30R20,M3 | M3 M3 | M3 M3 CS | M3 M3 Competition | M3 CS,true
2020,bmw,m3,3,275/35R19 285/30R20,M3 | M3 Competition,true
2014,bmw,m4,4,255/35R19 275/35R19 265/35R19 285/30R20,M4 | M4 CS | M4 Competition | M4 GTS | CS | GTS,true
1990,bmw,m5,1,235/45R17,M5,true
1994,bmw,m5,1,235/45R17,M5,true
1995,bmw,m5,1,235/45R17 245/40R18,M5,true
1999,bmw,m5,1,215/70R16,M5,true
2004,bmw,m5,1,275/40R19 285/40R19,M5,true
2005,bmw,m5,2,275/40R19 285/40R19 285/35R20 275/35R20,M5 | M5 M5,true
2011,bmw,m5,1,275/35R20 285/30R21,M5,true
2012,bmw,m5,3,275/40R19 285/35R20 275/35R20 285/40R19,M5 | M5 M5 | M5 M5 Competition,true
2017,bmw,m5,3,275/40R19 285/40R19 285/35R20 275/35R20,M5 | M5 M5 | M5 M5 Competition,true
2024,bmw,m5,4,275/35R20 285/35R20 275/40R19 285/40R19,M5 | M5 M5 | M5 M5 CS | M5 M5 Competition | M5 CS,true
2005,bmw,m6,1,255/40R19 285/35R19,M6,true
2019,bmw,m8,1,275/35R20 285/35R20,M8,true
2021,bmw,m8,1,275/35R20 285/35R20,M8,true
2026,bmw,m8,1,275/35R20 285/35R20,M8,true
2014,bmw,x4,1,245/50R18 245/45R19 225/60R17 245/55R17 245/40R20 275/35R20 275/40R19 245/35R21 275/30R21 205/65R17,X4 | X4 xDrive20d | xDrive20d,true
2026,bmw,x4,1,245/45R19,X4,true
2026,bmw,x4-m,1,265/40R21,X4 | X4 M | X4M,true
2002,bmw,z4,1,205/55R16,Z4,true
2017,bmw,z4,1,215/55R17,Z4,true
2023,buick,electra-e5,1,235/40R19,Electra E5 | Electra,false
