bp,make,model,years,yearFrom,yearTo,bolt,stud,bore,torqueMin,torqueMax,offset,reason
"3 X 100","Honda Sport","ATC110","1979-81","1979","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC185S","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC250R","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC70","1982-85","1982","1985","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC90","1971-78","1971","1978","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","FL250 Odyssey","1977-80","1977","1980","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","FL250 Odyssey","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","TRX70 Fourtrax","1986-87","1986","1987","3 X 100","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90","2006","2006","2006","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 EX","2007-09","2007","2009","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 Fourtrax","1993-09","1993","2009","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 Sportrax","2002-05","2002","2005","4 X 85","","","","","","make-not-in-db"
"4 X 98","YUGO","2.2, 3.0 CL","1986-91","1986","1991","4 X 98","12 X 1.25","","75","85","","make-not-in-db"
"4 X 98","YUGO","GV","1986-91","1986","1991","4 X 98","12 X 1.25b","","75","85","","make-not-in-db"
"4 X 100","AMC EAGLE","ALLIANCE/ ENCORE","1988-92","1988","1992","4 X 100","12 X 1.5","","75","85","","make-not-in-db"
"4 X 100","AMC EAGLE","SUMMIT","1994-96","1994","1996","4 X 100","12 X 1.5","56.1","75","85","","make-not-in-db"
"4 X 100","AUDI","4000","1979-84","1979","1984","4 X 100","14 X 1.5b","57.1","85","95","","model-not-matched"
"4 X 100","AUDI","4000S","1976-84","1976","1984","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","AVEO","2004-08","2004","2008","4 X 100","12 X 1.5","56.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","CHEVETTE","1975-86","1975","1986","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","COBALT","2005-08","2005","2008","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","NOVA/SPECTRUM","1986-89","1986","1989","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","PRIZM (GEO PRIZM)","1990-03","1990","2003","4 X 100","12 X 1.25","54.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET/GMC","AVEO","2004 >","2004","2027","4 X 100","12 X 1.5","56.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","CHEVETTE","1975-86","1975","1986","4 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","NOVA/ SPECTRUM","1986-89","1986","1989","4 X 100","12 X 1.5","54.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","PRIZM","1990 >","1990","2027","4 X 100","10 X 1.25","54.1","45","55","","make-not-in-db"
"4 X 100","CHRYSLER","LASER","1984-85","1984","1985","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","DAIHATSU","CHARADE","1987 >","1987","2027","4 X 100","12 X 1.5","","75","85","","make-not-in-db"
"4 X 100","DODGE","ARIES","1981-86","1981","1986","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","DODGE","DAYTONA","1982-84","1982","1984","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","DODGE","RAMPAGE","1978-85","1978","1985","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","FORD","ASPIRE","1994 >","1994","2027","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","FORD","ZX2","1997 >","1997","2027","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","FORD","ZX2","1997-03","1997","2003","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","HONDA","CRX","1980-91","1980","1991","4 X 100","12 X 1.5","56.1","75","85","","model-not-matched"
"4 X 100","ISUZU","I-MARK","1983-89","1983","1989","4 X 100","12 X 1.5","60.1","75","85","","model-not-matched"
"4 X 100","ISUZU","I-MARK TURBO","1987-89","1987","1989","4 X 100","12 X 1.5","60.1","75","85","","model-not-matched"
"4 X 100","ISUZU","IMPULSE","1983-92","1983","1992","4 X 100","12 X 1.5","60.1","75","85","","model-not-matched"
"4 X 100","ISUZU","STYLUS","1991 >","1991","2027","4 X 100","12 X 1.5","60.1","75","85","","model-not-matched"
"4 X 100","KIA","SEPHIA, SPECTRA","1994 >","1994","2027","4 X 100","12 X 1.5","56.1","75","85","","model-not-matched"
"4 X 100","KIA","SEPHIA, SPECTRA","1994-04","1994","2004","4 X 100","12 X 1.5","56.1","75","85","","model-not-matched"
"4 X 100","MAZDA","323","1990-94","1990","1994","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MAZDA","323 9","1990-94","1990","1994","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MAZDA","MX-3","1992-96","1992","1996","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MAZDA","MX-3 GS","1992-96","1992","1996","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MERCURY","TITAN","1988-90","1988","1990","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MERCURY","TRACER","1991-96","1991","1996","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","MERCURY","TRACER","1991-99","1991","1999","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","NISSAN","200SX","1995-97","1995","1997","4 X 100","12 X 1.25","59.1","75","85","","model-not-matched"
"4 X 100","NISSAN","200SX SE-R","1995-97","1995","1997","4 X 100","12 X 1.25","59.1","75","85","","model-not-matched"
"4 X 100","NISSAN","NX 2000","1991-93","1991","1993","4 X 100","12 X 1.25","59.1","75","85","","model-not-matched"
"4 X 100","NISSAN","PULSAR, SE, XE","1987-90","1987","1990","4 X 100","12 X 1.25","59.1","75","85","","model-not-matched"
"4 X 100","Opel","GT","1968-79","1968","1979","4 X 100","","","","","","make-not-in-db"
"4 X 100","Opel","Kadet","1968-79","1968","1979","4 X 100","","","","","","make-not-in-db"
"4 X 100","Opel","Manta","1968-79","1968","1979","4 X 100","","","","","","make-not-in-db"
"4 X 100","PLYMOUTH","COLT","1986-93","1986","1993","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","PLYMOUTH","HORIZON, OMNI","1979-90","1979","1990","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","PLYMOUTH","HORIZON, OMNI","1979-90","1979","1990","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","PLYMOUTH","RELIANT","1981-85","1981","1985","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","PONTIAC","G5 BASE","2007-08","2007","2008","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","PONTIAC","LE MANS","1988-93","1988","1993","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","SCION","XA","2004-07","2004","2007","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","SUBARU","JUSTY","1987-94","1987","1994","4 X 100","12 X 1.25","56.1","75","85","","model-not-matched"
"4 X 100","TOYOTA","MR-2","1985-89","1985","1989","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","TOYOTA","MR-2 SPYDER","2000 >","2000","2027","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","TOYOTA","MR-2 SPYDER","2000-05","2000","2005","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","TOYOTA","PASEO","1992-96","1992","1996","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","VOLKSWAGEN","CORRADO","1989-92","1989","1992","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 100","VOLKSWAGEN","CORRADO","1989-92","1989","1992","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 100","VOLKSWAGEN","SCIROCCO 16 VALVE","1981-88","1981","1988","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 100","VOLKSWAGEN","SCIROCCO 16 VALVE","1981-88","1981","1988","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 4","Austin Healey","Sprite","1972-80","1972","1980","4 X 4","","","","","","make-not-in-db"
"4 X 4","Crosley","All Models","1939-52","1939","1952","4 X 4","","","","","","make-not-in-db"
"4 X 4","Jensen-Healy","All","1972-80","1972","1980","4 X 4","","","","","","make-not-in-db"
"4 X 4.25","ALFA ROMEO","SPIDER","1968 >","1968","2027","4 X 108","12 X 1.5","69.1","75","85","","make-not-in-db"
"4 X 4.25","AUDI","QUATTRO","1985-90","1985","1990","4 X 108","14 X 1.5b","57.1","85","95","","model-not-matched"
"4 X 4.25","FORD","EXP","1981-85","1981","1985","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","FORD","GRANADA, LTD II","1978-88","1978","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 4.25","FORD","GRANADA, LTD II,FAIRMONT,T-BIRD","1978-88","1978","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 4.25","FORD","T-BIRD","1981-88","1981","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 4.25","FORD","TEMPO","1983-94","1983","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","FORD","VX3","1997-02","1997","2002","4 X 108","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 4.25","MERCURY","CAPRI","1974-86","1974","1986","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","LN-7","1982-83","1982","1983","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","LYNX","1981-87","1981","1987","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MERKUR XR-4TI","1985-89","1985","1989","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MONARCH, MARQUIS,","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MONARCH, MARQUIS,ZEPHER","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MYSTIQUE","1995-00","1995","2000","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MYSTIQUE","1995-96","1995","1996","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","MYSTIQUE","1995-96","1995","1996","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","TOPAZ","1983-85","1983","1985","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","TOPAZ","1986-94","1986","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","TOPAZ","1992-94","1992","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 4.25","MERCURY","ZEPHER","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 4.25","PORSCHE","924","1977-86","1977","1986","4 X 108","12 X 1.5b","","75","85","","model-not-matched"
"4 X 4.25","Sunbeam","ALPINE","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 4.25","Sunbeam","ARROW","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 4.25","Sunbeam","TIGER","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 108","ALFA ROMEO","SPIDER","1968 >","1968","2027","4 X 108","12 X 1.5","69.1","75","85","","make-not-in-db"
"4 X 108","AUDI","QUATTRO","1985-90","1985","1990","4 X 108","14 X 1.5b","57.1","85","95","","model-not-matched"
"4 X 108","FORD","EXP","1981-85","1981","1985","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","FORD","GRANADA, LTD II","1978-88","1978","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 108","FORD","GRANADA, LTD II,FAIRMONT,T-BIRD","1978-88","1978","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 108","FORD","T-BIRD","1981-88","1981","1988","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 108","FORD","TEMPO","1983-94","1983","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","FORD","VX3","1997-02","1997","2002","4 X 108","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 108","MERCURY","CAPRI","1974-86","1974","1986","4 X 108","1/2-RH","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","LN-7","1982-83","1982","1983","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","LYNX","1981-87","1981","1987","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","MERKUR XR-4TI","1985-89","1985","1989","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","MONARCH, MARQUIS,","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 108","MERCURY","MONARCH, MARQUIS,ZEPHER","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 108","MERCURY","MYSTIQUE","1995-00","1995","2000","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","MYSTIQUE","1995-96","1995","1996","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","MYSTIQUE","1995-96","1995","1996","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","TOPAZ","1983-85","1983","1985","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","TOPAZ","1986-94","1986","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","TOPAZ","1992-94","1992","1994","4 X 108","12 X 1.5","63.4","75","85","","model-not-matched"
"4 X 108","MERCURY","ZEPHER","1978-85","1978","1985","4 X 108","1/2-RH","","75","85","","model-not-matched"
"4 X 108","PORSCHE","924","1977-86","1977","1986","4 X 108","12 X 1.5b","","75","85","","model-not-matched"
"4 X 108","Sunbeam","ALPINE","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 108","Sunbeam","ARROW","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 108","Sunbeam","TIGER","1965-70","1965","1970","4 X 4.25","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","250 DS","2007-09","2007","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","DS450 X","2008-09","2008","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","DS650","2000-02","2000","2002","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Quest 500","2002-04","2002","2004","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Quest 650/XT","2002-03","2002","2003","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Quest 650/XT","2004","2004","2004","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Quest Max 650","2004","2004","2004","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 4x4","1999-02","1999","2002","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 4x4","2003-05","2003","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 CVT","2005","2005","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 Max","2003-05","2003","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 XL","2001-03","2001","2003","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 XL","2004-05","2004","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 500 XT","2001-05","2001","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 650 Max/ Max XT","2005","2005","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Can-AM Bombardier","Traxter 650/XT","2005","2005","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC200X","1983-85","1983","1985","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC200X","1986-87","1986","1987","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC250ES Big Red","1985-87","1985","1987","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC250R","1983","1983","1983","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC250R","1984","1984","1984","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC250R","1985-86","1985","1986","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC250SX","1985-87","1985","1987","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","ATC70","1982-85","1982","1985","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","BIG RED MUV 4wd","2009","2009","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","FL350R Odyssey","1985","1985","1985","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX 200 Fourtrax 200","1990-91","1990","1991","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX200SX Fourtrax","1986-88","1986","1988","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX250 Fourtrax 250","1985-87","1985","1987","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX250 Recon/ES","1997-09","1997","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX250EX","2001-09","2001","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX250R","1986-89","1986","1989","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX250R Fourtrax","1988-89","1988","1989","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX300 Fourtrax","1988-91","1988","1991","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX300 Fourtrax","1992-00","1992","2000","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX300EX Fourtrax","1993-00","1993","2000","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX300EX Sportrax","2001-09","2001","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX300FW 4x4","1988","1988","1988","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX350 4x4","1986-89","1986","1989","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX350 Rancher S/ES 2x4","2000-09","2000","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX350 Rancher S/ES 4x4","2000-09","2000","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX350FM","2000-02","2000","2002","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX350TE/TM Rancher","2000-02","2000","2002","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX400 Rancher/GPScape","2004-07","2004","2007","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX400EX","2006-09","2006","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX400FA Fourtrax Rancher AT","2004-07","2004","2007","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX400FW Foreman 4x4","1995-03","1995","2003","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX420 TM/TE Fourtrax Rancher S/ES","2007-09","2007","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX420FM/FE Fourtrax Rancher 4x4 S/ES","2007-09","2007","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450ER, TRX450R Kick Start","2004-05","2004","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450ER, TRX450R, Electric Start","2008-09","2008","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450ER, TRX450R, Kick Start","2006-07","2006","2007","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450ER, TRX450R, Kick Start","2008-09","2008","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450ER. TRX450R, Electric Start","2006-07","2006","2007","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450FM/FE Fourtrax Foreman S/ES","2002-04","2002","2004","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX450S/ES Fourtrax Foreman S/ES","1998-01","1998","2001","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500 Rubicon/GPScape","2001-09","2001","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500FE Fourtrax Foreman 4x4 ES","2005-09","2005","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500FGA Fourtrax Rubicon GPScape","2004-09","2004","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500FM Fourtrax Foreman 4x4","2005-09","2005","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500FPE Fourtrax Foreman 4x4 ES","2007-09","2007","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500FPM Fourtrax Foreman 4x4","2008-09","2008","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX500TM Fourtrax Foreman 2x4","2005-06","2005","2006","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX650FA Rincon GPScape","2003-05","2003","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX650FGA Fourtrax Rincon","2004-05","2004","2005","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX680FA Fourtrax Rincon","2006-09","2006","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX680FGA Rincon/GPScape","2006-09","2006","2009","4 X 110","","","","","","make-not-in-db"
"4 X 110","Honda Sport","TRX70 Fourtrax","1986-87","1986","1987","4 X 110","","","","","","make-not-in-db"
"4 X 110","MAZDA","RX7 GS SPORT","1979-85","1979","1985","4 X 110","12 X 1.5","","75","85","","model-not-matched"
"4 X 110","MAZDA","RX7 GS, SPORT1","1979-85","1979","1985","4 X 110","12 X 1.5","","75","85","","model-not-matched"
"4 X 4.5","ACURA","2.5TL","1995 >","1995","2027","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","ACURA","TC 2.5","1992-95","1992","1995","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","ACURA","VIGOR","1991-93","1991","1993","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","ACURA","VIGOR","1992-94","1992","1994","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","AMC EAGLE","SUMMIT","1989-93","1989","1993","4 X 4.5","12 X 1.5","","75","85","","make-not-in-db"
"4 X 4.5","CHEVROLET","CHEVY II 100","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 100","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 100","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 100","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 100","1964","1964","1964","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 100","1964","1964","1964","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 300","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 300","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 300","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II 300","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1962","1962","1962","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1963","1963","1963","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1964","1964","1964","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA 400","1964","1964","1964","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","CHEVY II NOVA SS","1964","1964","1964","4 X 4.5","","","","","","model-not-matched"
"4 X 4.5","CHEVROLET","SPRINT","1988-89","1988","1989","4 X 4.5","10 X 1.25","59.6","45","55","","model-not-matched"
"4 X 4.5","CHEVROLET/GMC","SPRINT","1988-89","1988","1989","4 X 4.5","10 X 1.25","59.6","45","55","","make-not-in-db"
"4 X 4.5","DODGE","COLT3","1979-92","1979","1992","4 X 4.5","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 4.5","FORD","FESTIVA","1987-93","1987","1993","4 X 4.5","12 X 1.5","","75","85","","model-not-matched"
"4 X 4.5","FORD","MID-SIZE 4LUG FAIRLANE, FALCON","1964-74","1964","1974","4 X 4.5","1/2-RH","","75","85","","model-not-matched"
"4 X 4.5","HONDA","CTX","1988-95","1988","1995","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","HONDA","EV MINI VAN","1997 >","1997","2027","4 X 4.5","12 X 1.5","64.1","75","85","","model-not-matched"
"4 X 4.5","HYUNDAI","ACCENT3","1995-99","1995","1999","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","HYUNDAI","EXCEL","1986-94","1986","1994","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","HYUNDAI","EXCEL3","1986-94","1986","1994","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","HYUNDAI","SCOUPE, LS","1990 >","1990","2027","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
"4 X 4.5","HYUNDAI","XC250","1997-99","1997","1999","4 X 4.5","12 X 1.5","67.1","75","85","","model-not-matched"
