id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"0a2d1cdb-6eb8-467b-b14b-e86ca0b27c62","2003","isuzu","rodeo","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991-04"
"d1881953-f116-453e-be76-76aef46725ae","2004","isuzu","rodeo","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991-04"
"401dbc4c-c28a-4c6a-ac92-26c205c9d005","1991","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER II 1984-91"
"d47a2853-57c0-4879-9ca9-59c93c13ebb3","1992","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03 ; ISUZU TROOPER 1992-96"
"2b348c0f-ff05-41d6-b29e-b9c1dda81830","1993","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03 ; ISUZU TROOPER 1992-96"
"fe0f90cb-aee4-4230-bd9f-bc3b2eec153d","1994","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03 ; ISUZU TROOPER 1992-96"
"a20a0038-b38e-4970-bb2d-66f36f37a690","1995","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03 ; ISUZU TROOPER 1992-96"
"38da22c2-d55c-4464-8cb7-fad4631220bf","1996","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03 ; ISUZU TROOPER 1992-96"
"985cac7b-13f8-436d-989e-c6c08315349a","1997","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
"7dfd9140-60d5-4c35-a043-ad166979584f","1998","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
"de3c46d2-6f8e-46d2-95ea-2115a18032b3","1999","isuzu","trooper","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
"7efeec50-860d-4532-ba27-db615b4c27f4","2000","isuzu","trooper","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
"b6b9ab7a-94d3-4c5a-b406-572a35d2c823","2001","isuzu","trooper","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU TROOPER 1992-03"
