id,year,make,model,display_trim,bolt_pattern,center_bore_mm,source,quality_tier
437f686c-bca9-4b7e-8fd8-8f70f629887f,2018,Porsche,911,GT3 RS Front GT3 RS,,,deprecated-staggered-split,unknown
9aba0989-ee61-49fa-b8b7-6867cb0f7f5f,2018,Porsche,911,GT3 RS Rear GT3 RS,,,deprecated-staggered-split,unknown
84c7da42-fb2d-4a22-a4fd-c33cd3239bf7,2018,Porsche,911,GT3 Front GT3,,,deprecated-staggered-split,unknown
2696ecd6-5fde-4593-8955-e765ca4b3241,2018,Porsche,911,Carrera 4 GTS (Center Lock),,,merged-staggered,unknown
8709c186-7bdf-4357-9d41-2ee2ade8ee91,2018,Porsche,911,Carrera GTS (Center Lock),,,merged-staggered,unknown
dc688a7f-d86e-47bd-a5d0-f22afda38096,2018,Porsche,911,Carrera GTS (Center Lock) Front Carrera GTS (Center Lock),,,deprecated-staggered-split,unknown
cb0c4c3c-81bf-4888-a358-27d1abe786d4,2018,Porsche,911,GT3 Rear GT3,,,deprecated-staggered-split,unknown
73022cd3-57c6-4bfc-8a71-249928d45027,2018,Porsche,911,Targa 4 GTS (Center Lock),,,merged-staggered,unknown
254b5505-51b6-42c8-8800-c6025ceb5a63,2018,Porsche,911,GT2 RS,5x130,,merged-staggered,unknown
c5d96c40-c847-4a32-8dd4-414acfd6dbce,2018,Porsche,911,GT3 RS,5x130,,merged-staggered,unknown
37b4764a-8c8b-4626-a3fe-ca38916a1599,2018,Porsche,911,GT3,5x130,,merged-staggered,unknown
efb8c63d-45cb-48c0-a40b-d5deddcdd96d,2018,Porsche,911,Turbo S Exclusive Series (Center Lock) Rear Turbo S Exclusive Series (Center Lock),,,deprecated-staggered-split,unknown
e906d45f-7646-4e46-b22d-28aa0fafb801,2018,Porsche,911,Targa 4 GTS (Center Lock) Front Targa 4 GTS (Center Lock),,,deprecated-staggered-split,unknown
1309d5e5-aca6-4356-96d6-442f976b413a,2018,Porsche,911,Targa 4 GTS (Center Lock) Rear Targa 4 GTS (Center Lock),,,deprecated-staggered-split,unknown
9b23716a-ecfc-4b4a-865c-f55845503581,2018,Porsche,911,Turbo (Center Lock) Front Turbo (Center Lock),,,deprecated-staggered-split,unknown
b4126e77-8581-44d1-90d8-d6e543263662,2018,Porsche,911,Turbo (Center Lock) Rear Turbo (Center Lock),,,deprecated-staggered-split,unknown
5062400a-2a9f-4f93-94f5-fa5392575719,2018,Porsche,911,Turbo S (Center Lock) Front Turbo S (Center Lock),,,deprecated-staggered-split,unknown
4c59c587-11b4-4736-961c-949c496b4870,2018,Porsche,911,GT2 RS Front GT2 RS,,,deprecated-staggered-split,unknown
