make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
dodge,charger,daytona r t 275 40r20,2,2025-2026,Charger Daytona R/T AWD 275/40R20,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
dodge,charger,daytona r t 305 35zr20,2,2025-2026,Charger Daytona R/T AWD 305/35ZR20,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
dodge,charger,daytona scat pack 305 35zr20,2,2025-2026,Charger Daytona Scat Pack AWD 305/35ZR20,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
dodge,charger,daytona scat pack 325 35zr20 rear,2,2025-2026,Charger Daytona Scat Pack AWD 325/35ZR20 Rear,Daytona Scat Pack | R/T | Base | Sport | Daytona R/T
fiat,500,l,2,2019-2020,500 L,Base | Standard
fiat,500,all season,2,2024-2025,500e All Season,Base | Standard
ford,bronco-sport,sasquatch,2,2025-2026,Bronco Sport Sasquatch 4WD,Base | Big Bend | Standard
ford,f-150,stx se,2,2007-2008,F150 STX SE 2WD,STX | XL | XLT | Lariat | Tremor
ford,focus,rs,2,2016-2017,Focus RS AWD,Titanium | Standard | S | SE | ST
ford,fusion,special service,2,2019-2020,Fusion Special Service Vehicle PHEV,SE | Standard | S | Titanium/Sport
ford,maverick,lobo,2,2025-2026,Maverick Lobo AWD,Base | Standard
ford,maverick,tremor,2,2025-2026,Maverick Tremor AWD,Base | Standard
ford,mustang,gtd,2,2025-2026,Mustang GTD,GT | EcoBoost | Dark Horse | GT Performance Pack
ford,mustang-mach-e,cal rt 1 er,2,2022-2023,Mustang Mach-E CAL RT 1 ER AWD,Base | GT
ford,mustang-shelby-gt350,performance package,2,2017 2019,Mustang Performance Package,GT350R | GT Performance Pack | Base | Standard
ford,mustang-shelby-gt350,bullitt,2,2019-2020,Mustang Bullitt,GT350R | GT Performance Pack | Base
ford,mustang-shelby-gt500,ho,2,2021 2023,Mustang HO Coupe,Base | Shelby GT500 | Carbon Fiber Track Pack | EcoBoost
ford,taurus,x,2,2008-2009,Taurus X FWD,Base | Standard
genesis,gv80,mhev,2,2025-2026,GV80 MHEV,"3.5T | 2.5T, 3.5T | 2.5T"
gmc,envoy,xuv,2,2005-2006,Envoy XUV 2WD,"SLE (17"") | SLE | SLT (18"") | SLT | Denali"
gmc,savana-3500,savana 15 25,2,2005 2007,Savana 15/25 2WD Conversion (cargo),Passenger | SL | SLE | Cargo | Cutaway
gmc,sierra-1500,mud terrain tires,2,2024 2026,Sierra Mud Terrain Tires 4WD,Elevation | SLT | SLE | Pro | Base
gmc,sierra-2500hd,mud terrain tires,2,2023 2025,Sierra Mud Terrain Tires 4WD,Base | Denali Ultimate | Denali | AT4 | Pro
gmc,sierra-3500hd,xfe,2,2009 2019,Sierra C15 XFE 2WD,SLT | Pro | Base | SLE
honda,cr-v,e,2,2025-2026,CR-V e-FCEV,LX | EX | EX-L | Touring | Sport Hybrid
honda,pilot,elite black,2,2023-2024,Pilot AWD Touring/Elite/Black,"LX | EX-L | Sport | Touring | LX, EX, EX-L, Touring, Elite, TrailSport"
hyundai,ioniq-5,n,2,2025-2026,Ioniq 5 N,Base | SE
hyundai,ioniq-5,xrt,2,2025-2026,Ioniq 5 AWD XRT,Base | SE
hyundai,ioniq-5,robo,2,2025-2026,Ioniq 5 Robo taxi,Base | SE
hyundai,kona,standard range,2,2024-2025,Kona Electric Standard Range,"SE | SEL | N Line | Limited | SE, SEL, N Line, Limited"
infiniti,q50,q50a,2,2014-2015,Q50a,"Pure | Sensory | Pure, Luxe, Sensory, Red Sport 400 | Luxe | Red Sport 400"
infiniti,q50,q50s red sport,2,2016-2017,Q50S Red Sport,"Pure | Luxe | Sensory | Red Sport 400 | Pure, Luxe, Sensory, Red Sport 400"
jaguar,e-pace,p300,2,2019-2020,E-Pace P300,"R-Dynamic | S | S, SE, HSE, R-Dynamic | SE | HSE"
jaguar,e-pace,mhev,2,2021-2022,E-Pace MHEV,"SE | HSE | S | R-Dynamic | S, SE, HSE, R-Dynamic"
jaguar,f-type,v8 s,2,2014-2015,F-Type V8 S Convertible,Base | P300
jaguar,xf,sportbrake,2,2019-2020,XF Sportbrake AWD,"Premium | Standard | Premium, Prestige, R-Dynamic, S | Prestige | R-Dynamic"
jaguar,xj,sport,2,2002-2003,XJ Sport,Base | Standard
jaguar,xj,xj8 4 2 litre,2,2004-2005,XJ8 4.2 Litre,XJ | Premium | XJ8 | Vanden Plas | Super V8
jaguar,xj,4 2 litre,2,2004-2005,XJR 4.2 Litre,XJ | Premium | XJ8 | Vanden Plas | Super V8
jeep,gladiator,rubic ecodiesel,2,2022-2023,Gladiator Rubic EcoDiesel 4WD,Base | Sport | Sport S | High Altitude | Luxury
jeep,wagoneer,s,2,2024-2025,Wagoneer S AWD (Falken tire),Base | Luxury
lamborghini,aventador,sian,2,2020-2021,Aventador Sian Roadster,Aventador (All Variants) | Sport
lamborghini,urus,se,2,2025-2026,Urus SE,Urus/Urus S/Urus Performante | Performance
landrover,range-rover,l,2,2014-2015,Range Rover L FFV,SE | Luxury | Autobiography | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,p360 mhev,2,2022 2024,Range Rover P360 MHEV,"SE | HSE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SV Autobiography"
landrover,range-rover,evoque mhev,2,2022-2023,Range Rover Evoque MHEV,"SE | HSE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SV Autobiography"
landrover,range-rover,new p360 mhev,2,2022-2023,New Range Rover P360 MHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,new p400 mhev,2,2022-2023,New Range Rover P400 MHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,sv mhev,2,2024-2025,Range Rover SV MHEV,"SE | HSE | SV Autobiography | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | SVAutobiography Dynamic"
landrover,range-rover-sport,sport svr mhev,2,2024 2026,Range Rover Sport SVR MHEV,SV | Autobiography | Dynamic SE | HSE | Base
lexus,gs,200t,2,2016-2017,GS 200t,"GS 300, GS 350, GS F, F Sport | GS 300 | GS 350 | GS F | F Sport"
lexus,gs,200t f sport,2,2016-2017,GS 200t F Sport,"GS 300, GS 350, GS F, F Sport | GS 300 | GS 350 | GS F | F Sport"
lexus,is,350 c,2,2014-2015,IS 350 C,"F Sport | IS 300 | IS 350 | IS 500 | IS 300, IS 350, IS 500, F Sport"
lexus,is,250 c,2,2014-2015,IS 250 C,"F Sport | IS 300 | IS 350 | IS 500 | IS 300, IS 350, IS 500, F Sport"
lexus,is,200t,2,2016-2017,IS 200t,"IS 300 | IS 350 | IS 500 | F Sport | IS 300, IS 350, IS 500, F Sport"
lexus,lx,700h,2,2025-2026,LX 700h,"LX 570 | Premium | LX 570, LX 600, F Sport, Ultra Luxury | LX 600 | F Sport"
lexus,rc-f,200t,2,2016-2017,RC 200t,Base | RC F | Standard
lexus,ux,300h,2,2025-2026,UX 300h,Base | UX 250h
lincoln,continental,coach,2,2019-2020,Continental Coach,"Premiere, Select, Reserve, Black Label | Select | Reserve | Premiere | Black Label"
lucid,air,g xr with 20 inch wheels,2,2023-2024,Air G Touring XR AWD with 20 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,g xr with 21 inch wheels,2,2023-2024,Air G Touring XR AWD with 21 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,pure with 19 inch wheels,2,2023-2024,Air Pure AWD with 19 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,pure with 20 inch wheels,2,2023-2024,Air Pure AWD with 20 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,with 19 inch wheels,2,2023-2024,Air Touring AWD with 19 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,with 20 inch wheels,2,2023-2024,Air Touring AWD with 20 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
maserati,ghibli,sq4,2,2020-2021,Ghibli SQ4,M157 (3rd Gen) | Premium
maserati,ghibli,modena,2,2022-2023,Ghibli Modena AWD,M157 (3rd Gen) | Premium
maserati,ghibli,gt,2,2022-2023,Ghibli GT,M157 (3rd Gen) | Premium
maserati,granturismo,modena,2,2024-2025,GranTurismo Modena,M175 (2nd Gen) | Luxury
maserati,granturismo,folgore,2,2024-2025,Granturismo Folgore,M175 (2nd Gen) | Luxury
maserati,levante,modena,2,2022-2023,Levante Modena,M161 | Sport
maserati,levante,gt,2,2022-2023,Levante GT,M161 | Sport
maserati,levante,modena v8,2,2022-2023,Levante Modena V8,M161 | Sport
maserati,quattroporte,sq4,2,2020-2021,Quattroporte SQ4,M156 (6th Gen) | Sport
maserati,quattroporte,modena,2,2022-2023,Quattroporte Modena AWD,M156 (6th Gen) | Sport
maserati,quattroporte,gt,2,2022-2023,Quattroporte GT,M156 (6th Gen) | Sport
mazda,3,5 door,2,2018 2025,3 5-Door,Sport | Touring | Grand Touring
mazda,mazda5,di,2,2012-2013,3 DI 4-Door,Grand Touring | LS | Sport | Touring
mazda,mazda5,di 5 door,2,2012-2013,3 DI 5-Door,Grand Touring | LS | Sport | Touring
mercedesbenz,amg-gt,43,2,2025-2026,AMG GT 43 (coupe),AMG GT R | Sport | AMG GT R Pro | AMG GT | AMG GT S
mercedesbenz,amg-gt,63 pro plus,2,2025-2026,AMG GT 63 PRO 4matic Plus (coupe),AMG GT R | Sport | AMG GT R Pro | AMG GT | AMG GT S
mercedesbenz,c-class,c280,2,2006-2007,C280,"C240 | LS | C300, C350, C400, C43 AMG, C63 AMG | C 300 | C43 AMG"
mercedesbenz,c-class,c350e,2,2016-2017,C350e,C350 | C 300 | AMG C 63 S | LS | C300 Sport
mercedesbenz,c-class-amg,c63 amg black series,2,2012-2013,C63 AMG Black Series Coupe,Base | Premium
mercedesbenz,cla,amg cla45 s,2,2024-2025,AMG CLA45 S 4matic,CLA250 | C 300 AMG Line | AMG CLA 35 4MATIC | AMG CLA 35 | Standard
mercedesbenz,cls-class-amg,amg cls53 plus,2,2019-2020,AMG CLS53 4matic Plus,Base | S 500 | Sport
mercedesbenz,e-class-amg,e320 cdi,2,2005-2006,E320 Cdi,Base | E 450 | Premium
mercedesbenz,e-class-cabriolet,amg e53 plus,2,2019 2022,AMG E53 4matic Plus Coupe,Base | E 350 | LS
mercedesbenz,eqb,250 plus,2,2024-2025,EQB 250 Plus,Base | Premium
mercedesbenz,eqe,350 plus,2,2024-2025,EQE 350 Plus,Base | Sport | EQE350+ | EQE500 4MATIC | Luxury
mercedesbenz,g-class,g 580 with eq technology,2,2025-2026,G 580 with EQ Technology,G550 | AMG CLA 35 | Base | Premium | AMG G63
mercedesbenz,glc,glc350e,2,2019-2020,GLC350e 4matic,GLC 300 | Standard | AMG GLC 43 4MATIC | AMG GLC 43 | GLC 300 4MATIC
mercedesbenz,gle,gle550e,2,2016-2017,GLE550e 4matic,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,gle-class-coupe,amg gle53 plus,2,2024 2026,AMG GLE53 4matic Plus,Base | Sport
mercedesbenz,gle-class-coupe,amg gle63 s plus,2,2024 2026,AMG GLE63 S 4matic Plus Coupe,Base | Sport
mercedesbenz,m-class,ml350,2,2004 2009,ML350,Base | Premium
mercedesbenz,m-class-amg,ml430,2,2000-2001,ML430,Base | Performance | Luxury
mercedesbenz,m-class-amg,ml320 cdi,2,2007-2008,ML320 CDI 4matic,Base | Performance | Luxury
mercedesbenz,m-class-amg,ml450,2,2010-2011,ML450 Hybrid 4matic,Base | Performance | Luxury
mercedesbenz,s-class,s400,2,2010 2013,S400 Hybrid,S450 | Premium | S550 | S600 | Sport
mercedesbenz,s-class,maybach s680,2,2022 2026,Maybach S680 4matic,Base | Premium | S580 | Luxury | Maybach S580
mercedesbenz,s-class-amg,s400,2,2011-2012,S400 Hybrid,Base | S 580 | Premium
mercedesbenz,s-class-amg,s580e,2,2023 2025,S580e 4matic,Base | S 580 | Premium
mercedesbenz,s-class-coupe,s600,2,2016-2017,S600,Base | S 500 | Premium
mercedesbenz,s-class-coupe,s550e,2,2016-2017,S550e,Base | S 500 | Premium
mercedesbenz,s-class-coupe,maybach s650,2,2019-2020,Maybach S650,Base | S 500 | Premium
mercedesbenz,s-class-coupe,s560e,2,2019-2020,S560e,Base | S 500 | Premium
mercedesbenz,sl-class,amg sl63 plus,2,2023 2026,AMG SL63 4matic Plus,AMG SL63 | Performance | AMG SL43 | AMG CLA 35 | AMG SL55
mercedesbenz,sl-class,amg sl55 plus,2,2023 2026,AMG SL55 4matic Plus,AMG SL63 | Performance | AMG SL43 | AMG CLA 35 | AMG SL55
mercedesbenz,sl-class-amg,sl400,2,2015-2016,SL400,Base | AMG CLA 35 | Premium
mercedesbenz,slk-class,slk230 kompressor,2,2000-2001,SLK230 Kompressor,Base | CLA 250 | LS
mercedesbenz,slk-class-amg,slk230 kompressor,2,2002-2003,SLK230 Kompressor,Base | CLA 250 AMG Line | Premium
mercedesbenz,slk-class-amg,slk280,2,2006 2008,SLK280,Base | CLA 250 AMG Line | Premium
mercury,milan,s,2,2010-2011,Milan S,Base | LS
mini,cooper,jcw,2,2025-2026,JCW Convertible,"Classic, Signature, Iconic, S, John Cooper Works | Base | Classic | John Cooper Works | S"
mini,countryman,se,2,2025-2026,Countryman SE ALL4 (18 inch Wheels),Classic | Standard | Signature | Iconic | S
nissan,armada,pro 4x,2,2025-2026,Armada 4WD PRO-4X,"S, SV, SL, Platinum | S | SL | SV | Platinum"
nissan,pathfinder,fe,2,2009-2010,Pathfinder FE 2WD,"S, SV, SL, Platinum | LS | S | SV | SL"
nissan,rogue,select,2,2014-2015,Rogue Select FWD,"SL | S | Platinum | S, SV, SL, Platinum | SV"
nissan,sentra,nismo,2,2017 2019,Sentra Nismo,"SR | S | S, SV, SR | SV"
nissan,titan-xd,pro4x,2,2018 2024,Titan 4WD PRO4X,PRO-4X | Platinum Reserve | S | SL | SV
polestar,polestar-2,dual motor performance pack,2,2024-2025,2 Dual Motor Performance Pack,Base | Sport
pontiac,firebird,firebird trans am,2,2000-2001,Firebird/Trans Am,Base | LS
pontiac,g6,gt gtp,2,2006-2007,G6 GT/GTP Convertible,Base | Standard
porsche,911,gt2 rs,2,2011 2019,911 GT2 RS,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Turbo S | GT3"
porsche,911,gts,2,2011-2012,911 GTS,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Turbo S | GT3"
porsche,911,dakar,2,2023-2024,911 Dakar,Carrera S | Carrera | Carrera 4S | Turbo | Turbo S
porsche,boxster,boxster t,2,2021-2022,718 Boxster T,GTS | Standard | Spyder | Base | S
porsche,boxster,cayman t,2,2021-2022,718 Cayman T,GTS | Standard | Spyder | Base | S
porsche,boxster,gt4 rs,2,2024-2025,718 GT4 RS,Base | Standard | S | GTS | Spyder
porsche,boxster,rs,2,2024-2025,718 Spyder RS,Base | Standard | S | GTS | Spyder
porsche,macan,kit,2,2017-2018,Macan Turbo Kit,"GTS | Macan | Base, S, GTS, Turbo | Base | Turbo"
porsche,macan,4s,2,2025-2026,Macan 4S Electric,"S | Base | GTS | Turbo | Base, S, GTS, Turbo"
porsche,panamera,s st,2,2021 2023,Panamera Turbo S ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | 4 | 4S"
porsche,taycan,4s perf battery,2,2021-2022,Taycan 4S Perf Battery,Taycan 4 | Taycan
porsche,taycan,perf battery,2,2021-2022,Taycan Perf Battery,Taycan 4 | Taycan
ram,1500-classic,hfe,2,2019 2025,1500 HFE 2WD,Base | Tradesman
rivian,r1s,all terrain dual large plus,2,2025-2026,R1S All-Terrain Dual Large Plus (20in),1st Gen | Adventure
rivian,r1s,all terrain performance dual large plus,2,2025-2026,R1S All-Terrain Performance Dual Large Plus (20in),1st Gen | Adventure
rivian,r1s,dual large plus,2,2025-2026,R1S Dual Large Plus (22in),1st Gen | Adventure
rivian,r1s,performance dual large plus,2,2025-2026,R1S Performance Dual Large Plus (22in),1st Gen | Adventure
rivian,r1s,all terrain tri max,2,2025-2026,R1S All-Terrain Tri Max (20in),1st Gen | Adventure
rivian,r1s,tri max,2,2025-2026,R1S Tri Max (22in),1st Gen | Adventure
rivian,r1t,all terrain dual large plus,2,2025-2026,R1T All-Terrain Dual Large Plus (20in),1st Gen | Adventure
rivian,r1t,all terrain performance dual large plus,2,2025-2026,R1T All-Terrain Performance Dual Large Plus (20in),1st Gen | Adventure
rivian,r1t,dual large plus,2,2025-2026,R1T Dual Large Plus (22in),1st Gen | Adventure
rivian,r1t,performance dual large plus,2,2025-2026,R1T Performance Dual Large Plus (22in),1st Gen | Adventure
rivian,r1t,all terrain tri max,2,2025-2026,R1T All-Terrain Tri Max (20in),1st Gen | Adventure
rivian,r1t,tri max,2,2025-2026,R1T Tri Max (22in),1st Gen | Adventure
rollsroyce,ghost,ewb,2,2020-2021,Ghost EWB,2nd Gen | Performance
saab,9-3,aero,2,2008-2009,9-3 Aero Sedan AWD,Base | LS
saab,9-3,aero sportcombi,2,2008-2009,9-3 Aero SportCombi AWD,Base | LS
subaru,outback,impreza outback spt,2,2006 2009,Impreza Wagon/Outback SPT AWD,Wilderness | LS | Base | Premium | Limited
tesla,cybertruck,long range,2,2025-2026,Cybertruck Long Range,1st Gen | Luxury
tesla,model-3,long range performance,2,2019-2020,Model 3 Long Range AWD Performance,1st Gen | Standard Range | Base
tesla,model-s,p85d,2,2015-2016,Model S AWD - P85D,1st Gen | Long Range | Base
tesla,model-s,85d,2,2015-2016,Model S AWD - 85D,1st Gen | Long Range | Base
