make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
jaguar,i-pace,ev400,1,2024,I-Pace EV400 (20 inch tires),Base | Premium
jaguar,xe,30t,1,2020,XE 30t,"R-Dynamic | SE | Premium, Prestige, R-Dynamic, S | Prestige | S"
jaguar,xe,p250,1,2021,XE P250,"Premium, Prestige, R-Dynamic, S | SE | Prestige | Premium | S"
jaguar,xe,p300,1,2021,XE P300 AWD,"Premium, Prestige, R-Dynamic, S | SE | Prestige | Premium | S"
jaguar,xf,supercharged,1,2009,XF Supercharged,"Prestige | Standard | R-Dynamic | Premium, Prestige, R-Dynamic, S | S"
jaguar,xf,30t,1,2020,XF 30t,"Premium | Standard | Prestige | Premium, Prestige, R-Dynamic, S | R-Dynamic"
jaguar,xj,xjl,1,2018,XJL,R-Sport | L Portfolio | L Supercharged | Supercharged
jeep,gladiator,rubicon ecodiesel,1,2021,Gladiator Rubicon EcoDiesel 4WD,3.6 Pentastar | Sport | High Altitude | Overland | Base
jeep,grand-cherokee,wk,1,2022,Grand Cherokee WK 2WD,Laredo | Summit | Overland | Summit Reserve | Limited
kia,ev9,gt,1,2026,EV9 GT,Base | Standard
kia,forte5,5,1,2018,Forte 5,SX | LX | EX
kia,k5,w stop start,1,2026,K5 w/Stop-Start,GT-Line | EX | GT | LX | LXS
lamborghini,aventador,veneno,1,2014,Aventador Veneno Coupe,Aventador (All Variants) | Sport
lamborghini,aventador,lp740 4,1,2017,Aventador Roadster LP740-4,Aventador (All Variants) | Sport
lamborghini,aventador,countach,1,2022,Aventador Countach,Aventador (All Variants) | Sport
lamborghini,huracan,sterrato,1,2024,Huracan Sterrato,Huracan (All Variants) | Sport
landrover,defender,110,1,2026,Defender 110,Base | 90
landrover,defender,130,1,2026,Defender 130,Base | 90
landrover,defender,110 trophy mhev,1,2026,Defender 110 Trophy MHEV,Base | 90
landrover,discovery-sport,sport si4,1,2019,Discovery Sport Si4,Base | S | Premium
landrover,discovery-sport,sport mhev,1,2020,Discovery Sport MHEV,Base | S | Premium
landrover,range-rover,tdv6,1,2016,Range Rover TDV6,"SE | Luxury | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | SV Autobiography | SVAutobiography Dynamic"
landrover,range-rover,evoque 237hp,1,2019,Range Rover Evoque 237HP,SE | Luxury | Autobiography | SVAutobiography Dynamic | SV Autobiography
landrover,range-rover,evoque 286hp,1,2019,Range Rover Evoque 286HP,SE | Luxury | Autobiography | SVAutobiography Dynamic | SV Autobiography
landrover,range-rover,new sport p360 mhev,1,2023,New Range Rover Sport P360 MHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,new sport p400 mhev,1,2023,New Range Rover Sport P400 MHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,new sport,1,2023,New Range Rover Sport,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,new p440,1,2023,New Range Rover P440 PHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,new sport p440,1,2023,New Range Rover Sport P440 PHEV,Autobiography | SE | HSE | SV Autobiography | SVAutobiography Dynamic
landrover,range-rover,sport mhev,1,2025,Range Rover Sport MHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover,sport svr mhev,1,2025,Range Rover Sport SVR MHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover,sport p360 mhev,1,2025,Range Rover Sport P360 MHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover,sport p400 mhev,1,2025,Range Rover Sport P400 MHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover,p550,1,2025,Range Rover P550 PHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover,sport p460,1,2025,Range Rover Sport P460 PHEV,"HSE | SE | SE, HSE, Autobiography, SV Autobiography, SVAutobiography Dynamic | Autobiography | SVAutobiography Dynamic"
landrover,range-rover-evoque,mhev,1,2020,Evoque MHEV,"Autobiography | Standard | S, SE, Dynamic SE, Autobiography | SE | Dynamic SE"
landrover,range-rover-sport,sport tdv6,1,2016,Range Rover Sport TDV6,Dynamic | SE | Supercharged | SVR | HSE
landrover,range-rover-velar,velar p300,1,2020,Range Rover Velar P300,Base | Luxury | Sport
landrover,range-rover-velar,velar p380,1,2020,Range Rover Velar P380,Base | Luxury | Sport
lexus,es,350h,1,2026,ES 350h,"ES 250, ES 300h, ES 350, F Sport | ES 250 | F Sport | ES 300h | ES 350"
lexus,es,350e,1,2026,ES 350e (19 inch Wheels),"ES 250, ES 300h, ES 350, F Sport | ES 250 | F Sport | ES 300h | ES 350"
lexus,es,500e,1,2026,ES 500e AWD (19 inch Wheels),"ES 250, ES 300h, ES 350, F Sport | ES 250 | F Sport | ES 300h | ES 350"
lexus,gs,300 gs 400,1,2000,GS 300/GS 400,"GS 300, GS 350, GS F, F Sport | LS | GS 350 | GS 300 | GS F"
lexus,gs,430,1,2007,GS 430,GS 350 | GS 300 | GS 350 Sport Package | Sport Package | GS 350 (all trims)
lexus,rx,450h plus,1,2025,RX 450h Plus AWD,"RX 350 | Sport | RX 450h | RX 350, RX 350L, RX 450h, RX 500h, F Sport | RX 350L"
lexus,rx350,350 l,1,2018,RX 350 L,Base | F Sport
lexus,rx350,450h l,1,2018,RX 450h L AWD,Base | F Sport
lucid,air,dream p w 19 inch wheels,1,2022,Air Dream P AWD w/19 inch wheels,EV | Sport
lucid,air,dream p w 21 inch wheels,1,2022,Air Dream P AWD w/21 inch wheels,EV | Sport
lucid,air,dream r w 19 inch wheels,1,2022,Air Dream R AWD w/19 inch wheels,EV | Sport
lucid,air,dream r w 21 inch wheels,1,2022,Air Dream R AWD w/21 inch wheels,EV | Sport
lucid,air,g w 19 inch wheels,1,2022,Air G Touring AWD w/19 inch wheels,EV | Sport
lucid,air,g w 21 inch wheels,1,2022,Air G Touring AWD w/21 inch wheels,EV | Sport
lucid,air,g xr with 19 inch wheels,1,2023,Air G Touring XR AWD with 19 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,gt p with 21 inch wheels,1,2023,Air GT P AWD with 21 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
lucid,air,with 21 inch wheels,1,2023,Air Touring AWD with 21 inch wheels,Pure | Standard | Touring | Sapphire | Grand Touring
