make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
gmc,safari,1990-2005,49,16,0,0,0,
gmc,sonoma,1990-1999,10,10,0,0,0,
gmc,sierra-3500,2005-2006,6,2,0,0,0,
gmc,jimmy,1990-1999,10,10,0,0,0,
honda,accord,1990-1993 2000-2026,197,31,0,0,0,
honda,pilot,2003-2026,177,24,0,0,0,
honda,civic,1990-1995 2000-2026,275,33,0,0,0,
honda,cr-v,1997-2026,177,30,0,0,0,
honda,del-sol,1993-1997,5,5,0,0,0,
honda,ridgeline,2006-2026,126,21,0,0,0,
honda,hr-v,2016-2026,54,11,0,0,0,
honda,passport,1994-2002 2019-2026,46,17,0,0,0,
honda,odyssey,1995-2026,77,32,0,0,0,
honda,insight,2000-2006 2009-2014 2019-2022,39,17,0,0,0,
honda,fit,2007-2020,19,14,0,0,0,
honda,s2000,2000-2009,10,10,0,0,0,
honda,prologue,2026,1,1,0,0,0,
honda,element,2003-2011,9,9,0,0,0,
honda,crosstour,2011-2016,6,6,0,0,0,
hummer,h1,1992-2006,15,15,0,0,0,
hummer,h2,2003-2009,7,7,0,0,0,
hummer,h3,2006-2010,5,5,0,0,0,
hyundai,palisade,2020-2026,42,7,0,0,0,
hyundai,santa-fe-classic,2007-2012,12,6,0,0,0,
hyundai,santa-fe-sport,2013-2018,13,6,0,0,0,
hyundai,santa-cruz,2026,4,1,0,0,0,
hyundai,tiburon-turbulence,2000-2001,4,2,0,0,0,
hyundai,sonata,1990-2026,183,37,0,0,0,
hyundai,elantra-gt,2018,2,1,0,0,0,
hyundai,tiburon,1997-2001 2003-2008,11,11,0,0,0,
hyundai,elantra,1992-2026,116,35,0,0,0,
hyundai,ioniq-5,2021-2026,8,6,0,0,0,
hyundai,ioniq,2017-2022,32,6,0,0,0,
hyundai,xg300,2001,1,1,0,0,0,
hyundai,xg350,2002-2005,4,4,0,0,0,
hyundai,accent,1995-1999 2018,8,6,0,0,0,
infiniti,qx60,2013-2026,66,13,1,0,0,
infiniti,g20,1991-1996 1999,7,7,0,0,0,
infiniti,j30,1993-1997,5,5,0,0,0,
infiniti,q45,1990-1999,10,10,0,0,0,
infiniti,qx80,2004-2026,89,13,10,0,0,
infiniti,qx55,2022-2025,10,4,0,0,0,
infiniti,qx4,1997-1999,3,3,0,0,0,
infiniti,qx70,2013-2014,2,1,1,0,0,
infiniti,q70,2013-2021,11,8,1,0,0,
infiniti,i30,1996-1999,4,4,0,0,0,
